United States Billion-Dollar Disasters Cost (CPI-Adjusted)
Cost values are in billions of dollars
State,Year,"Drought Count","Drought Cost","Drought Lower 75","Drought Upper 75","Drought Lower 90","Drought Upper 90","Drought Lower 95","Drought Upper 95","Flooding Count","Flooding Cost","Flooding Lower 75","Flooding Upper 75","Flooding Lower 90","Flooding Upper 90","Flooding Lower 95","Flooding Upper 95","Freeze Count","Freeze Cost","Freeze Lower 75","Freeze Upper 75","Freeze Lower 90","Freeze Upper 90","Freeze Lower 95","Freeze Upper 95","Severe Storm Count","Severe Storm Cost","Severe Storm Lower 75","Severe Storm Upper 75","Severe Storm Lower 90","Severe Storm Upper 90","Severe Storm Lower 95","Severe Storm Upper 95","Tropical Cyclone Count","Tropical Cyclone Cost","Tropical Cyclone Lower 75","Tropical Cyclone Upper 75","Tropical Cyclone Lower 90","Tropical Cyclone Upper 90","Tropical Cyclone Lower 95","Tropical Cyclone Upper 95","Wildfire Count","Wildfire Cost","Wildfire Lower 75","Wildfire Upper 75","Wildfire Lower 90","Wildfire Upper 90","Wildfire Lower 95","Wildfire Upper 95","Winter Storm Count","Winter Storm Cost","Winter Storm Lower 75","Winter Storm Upper 75","Winter Storm Lower 90","Winter Storm Upper 90","Winter Storm Lower 95","Winter Storm Upper 95","All Disasters Count","All Disasters Cost","All Disasters Lower 75","All Disasters Upper 75","All Disasters Lower 90","All Disasters Upper 90","All Disasters Lower 95","All Disasters Upper 95"
US,1990,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.4,2.2,2.9,2.2,3.1,1.9,3.1,1,8.3,6.4,10.3,6.1,10.5,5.9,10.8,1,2.0,1.9,2.4,1.9,2.6,1.7,2.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.7,1.4,2.4,1.9,2.6,2.1,2.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,14.4,11.9,18.0,12.1,18.8,11.6,19.1
US,1991,1,7.0,7.0,9.0,6.7,9.5,6.5,9.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.5,1.4,1.6,1.2,1.8,1.2,1.8,1,3.4,3.0,4.1,2.7,4.1,2.5,4.4,1,7.5,5.9,8.6,5.7,9.1,5.2,9.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,19.4,17.3,23.3,16.3,24.5,15.4,25.4
US,1992,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,7.0,6.5,8.0,6.5,8.7,5.8,8.7,2,66.8,59.7,72.5,57.5,75.0,56.4,76.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.5,4.8,5.9,4.6,6.2,4.6,6.4,7,79.3,71.0,86.4,68.6,89.9,66.8,91.7
US,1993,1,2.8,2.8,3.3,2.6,3.5,2.6,3.5,1,45.9,32.4,43.8,30.4,45.8,29.1,47.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.4,1.1,1.3,1.1,1.5,0.9,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.9,2.2,3.0,2.2,3.2,1.9,3.4,1,12.0,11.1,12.9,10.9,13.3,10.2,14.0,5,65.0,49.6,64.3,47.2,67.3,44.7,69.7
US,1994,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.1,2.1,2.9,1.9,3.1,1.9,3.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.1,1.9,2.1,1.9,2.3,1.7,2.3,1,2.1,1.9,2.5,1.7,2.5,1.7,2.5,1,1.5,1.3,1.9,1.3,1.9,1.1,2.1,2,8.6,7.5,9.4,7.3,9.6,7.0,9.6,6,16.4,14.7,18.8,14.1,19.4,13.4,19.8
US,1995,1,2.0,1.8,2.2,1.6,2.7,1.4,2.9,1,5.2,3.3,5.0,2.9,5.4,2.9,5.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,12.4,9.6,12.9,8.8,13.7,8.4,14.3,3,15.5,14.2,18.1,13.8,19.7,13.4,20.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,35.1,28.9,38.2,27.1,41.5,26.1,43.1
US,1996,1,3.6,3.4,4.6,3.4,5.1,3.2,5.3,2,3.3,2.8,4.2,2.8,4.4,2.6,4.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9.9,9.1,11.7,8.5,12.3,8.1,12.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6.1,4.8,6.7,4.6,7.1,4.6,7.3,5,22.9,20.1,27.2,19.3,28.9,18.5,29.9
US,1997,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,13.1,12.2,17.8,11.4,18.6,10.6,19.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.9,1.8,2.2,1.8,2.2,1.6,2.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,15.0,14.0,20.0,13.2,20.8,12.2,21.8
US,1998,1,6.8,5.8,7.1,5.6,7.5,5.4,7.7,1,1.8,1.5,2.3,1.5,2.5,1.3,2.5,1,4.8,3.9,5.8,3.7,6.0,3.7,6.0,4,8.9,8.1,9.6,7.5,10.2,7.4,10.8,3,14.6,12.5,16.4,11.9,17.6,11.7,17.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.7,2.1,2.7,2.1,2.9,1.9,3.1,11,39.6,33.9,43.9,32.3,46.7,31.4,48.0
US,1999,1,4.7,4.4,5.1,4.2,5.1,4.2,5.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.8,3.2,4.1,3.2,4.3,3.0,4.5,1,12.1,10.6,13.0,10.2,13.6,9.9,14.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.7,3.4,4.2,3.2,4.6,3.0,5.0,5,24.3,21.6,26.4,20.8,27.6,20.1,28.8
